designation,winery,variety,region_1,province,country,price,points,latitud,longitud,elevation
HB Family Vineyard,Bump Wine Cellars,Zinfandel,Sonoma Valley,California,US,24.0,87,38.2915166,-122.4582561,25.53170967102051
Brut Rosé,Mumm Napa,Sparkling Blend,Napa County,California,US,24.0,91,38.4782184,-122.3936748,56.1942024230957
A,Di Meo,Aglianico,Campania,Southern Italy,Italy,23.0,88,41.10994729999999,14.8475139,243.9025573730469
Ciabot Berton,Ciabot Berton,Nebbiolo,Barolo,Piedmont,Italy,80.0,93,44.6427256,7.940227,349.876708984375
Alabaster,Teso La Monja,Tinta de Toro,Toro,Northern Spain,Spain,227.0,97,41.5253332,-5.3910247,729.0138549804688
Bacigalupi Vineyard,Peter Paul Wines,Chardonnay,Russian River Valley,California,US,40.0,88,38.4836416,-122.8175328,33.26132202148438
Estate Reserve,One Woman,Chardonnay,North Fork of Long Island,New York,US,40.0,82,41.0815899,-72.4248522,7.899425029754639
Fossati,Cascina Adelaide,Nebbiolo,Barolo,Piedmont,Italy,103.0,93,44.6126534,7.9458787,252.2216949462891
Barrouge,Barlow,Bordeaux-style Red Blend,Napa Valley,California,US,45.0,86,38.5762265,-122.535808,99.35961151123047
Stolo Family Vineyard Anno di Isabella,TreViti,Syrah,Central Coast,California,US,26.0,87,36.778261,-119.4179324,145.0071258544922
The Climber Limited,Clif Family,Red Blend,California,California,US,28.0,85,38.50036830000001,-122.4640168,72.92853546142578
Riserva,Castello Romitorio,Sangiovese Grosso,Brunello di Montalcino,Tuscany,Italy,150.0,95,43.055452,11.449105,475.6259765625
La Charmille,Château La Rame,Bordeaux-style Red Blend,Premieres Côtes de Bordeaux,Bordeaux,France,24.0,89,44.5910755,-0.2733347,79.4971694946289
Finca la Cuesta,Luna Beberide,Mencía,Bierzo,Northern Spain,Spain,22.0,89,42.60205209999999,-6.738811999999999,481
Acciaiolo,Castello d'Albola,Red Blend,Toscana,Tuscany,Italy,60.0,93,43.5192949,11.402886,618.7987060546875
Oley Sweet,Novy,Viognier,Russian River Valley,California,US,14.0,87,38.4836416,-122.8175328,33.26132202148438
Reserve,Artesa,Pinot Noir,Carneros,California,US,25.0,93,38.269161,-122.355377,92.42691040039062
Crosàra de le Strìe Coati Bruno,Corte Rugolin,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,Veneto,Italy,41.0,88,45.5223911,10.9076512,150.8922119140625
Hook Vineyard,Tudor Wines,Pinot Noir,Santa Lucia Highlands,California,US,75.0,90,36.4307709,-121.4203754,108.8557815551758
Nocturnum Commemoration Cuvee,Kynsi,Red Blend,San Luis Obispo County,California,US,39.0,93,35.1897888,-120.5815658,83.79170989990234
Estate Grown,The Lane,Sauvignon Blanc,Adelaide Hills,South Australia,Australia,30.0,83,-35.0119262,138.836719,418.1348876953125
Rancho Galante,Galante,Cabernet Sauvignon,Carmel Valley,California,US,25.0,83,36.5546056,-121.9228216,72.53290557861328
Unfiltered,Meola Vineyards,Cabernet Sauvignon,Alexander Valley,California,US,60.0,89,38.65649,-122.786907,78.08226776123047
Snows Lake Vineyard,Rosenblum,Zinfandel,Lake County,California,US,35.0,84,37.79534719999999,-122.2793556,3.529644727706909
Malbec Valley,Château du Cayrou,Malbec,Cahors,Southwest France,France,13.0,87,44.4805641,1.1448749,97.70818328857422
Vendages Manuelles Prestige,Cave de Ribeauvillé,Riesling,Alsace,Alsace,France,14.0,84,48.191907,7.327089000000001,237.0570373535156
Rosin Rosato,Podere Ruggeri Corsini,Rosato,Langhe,Piedmont,Italy,13.0,89,44.5938404,7.962105299999999,347.6528930664062
Quinta de Pedras Vineyard,Ristow Estate,Cabernet Sauvignon,Napa Valley,California,US,59.0,84,38.3191858,-122.310113,24.10716247558594
Poggio alla Guardia,Rocca di Frassinello,Red Blend,Maremma,Tuscany,Italy,24.0,86,42.931667,10.980062,88.89999389648438
The Old Barossa Blend,Winter Creek,Grenache-Shiraz,Barossa,South Australia,Australia,25.0,89,-34.5647306,138.9333778,229.3390197753906
Privilegia,Giuseppe Lonardi,Red Blend,Veronese,Veneto,Italy,20.0,86,45.43838419999999,10.9916215,61.27925872802734
Estate Grown Cave Fermented,Jarvis,Chardonnay,Napa Valley,California,US,64.0,91,38.3543897,-122.2156568,301.5498352050781
StevensDivio,Stevens,Viognier,Yakima Valley,Washington,US,21.0,89,46.6073502,-120.50473,325.84326171875
Deer Meadows Vineyard,Waits-Mast,Pinot Noir,Anderson Valley,California,US,55.0,95,37.7333046,-122.434389,59.08951568603516
Colección 125 Vendimia Tardía,Bodegas Julián Chivite,Moscatel,Navarra,Northern Spain,Spain,40.0,92,42.08549,-1.80265,392.1724853515625
Owl Hill Vineyard Estate Bottled,Frick,Syrah,Dry Creek Valley,California,US,22.0,84,39.2614426,-121.3414203,90.57664489746094
115/667,Wrath,Pinot Noir,Monterey,California,US,35.0,86,36.55482,-121.920321,69.6392822265625
Belcore,I Giusti e Zanza,Red Blend,Toscana,Tuscany,Italy,27.0,90,43.5821411,10.5195897,53.37948226928711
Cava Negra,Bodega Familia Barberis,Malbec,Mendoza,Mendoza Province,Argentina,8.0,83,-32.8642197,-68.7504131,677.932861328125
Sonoro,Ceralti,Merlot,Toscana,Tuscany,Italy,50.0,89,43.15473009999999,10.5709083,28.83061790466309
Block 2 Vineyard,IL Gioiello,Zinfandel,Amador County,California,US,25.0,84,38.4812303,-120.8484166,331.4483337402344
Dante,VJB,Cabernet Sauvignon,Sonoma Valley,California,US,32.0,85,38.4175066,-122.5499054,130.6466979980469
Estate Vineyards,Rodney Strong,Pinot Noir,Russian River Valley,California,US,20.0,91,38.5732861,-122.8439611,29.31305885314941
DUBL Brut Rosato Metodo Classico,Feudi di San Gregorio,Aglianico,Campania,Southern Italy,Italy,55.0,90,40.9111904,14.8675003,526.1294555664062
La Pièce,Mas del Périé,Malbec,Cahors,Southwest France,France,85.0,92,44.41178,1.3806369,320.4002990722656
Nectar de Carneros Sweet,Bonneau,Chardonnay,Carneros,California,US,18.0,87,38.2306966,-122.4767339,36.22938537597656
Parcela El Nogal,Pago de los Capellanes,Tempranillo,Ribera del Duero,Northern Spain,Spain,75.0,84,41.708948,-3.973402,815.7442016601562
Termanthia,Numanthia,Tinta de Toro,Toro,Northern Spain,Spain,200.0,95,41.4515284,-5.4563748,713.6124267578125
L'Artiste,Robert Pecota,Sauvignon Blanc,Napa Valley,California,US,16.0,85,38.5322198,-122.5059262,102.09033203125
Blocks Road,Kilikanoon,Cabernet Sauvignon,Clare Valley,South Australia,Australia,30.0,91,-33.9201684,138.623133,421.4712219238281
Proprietor's Reserve,Maryhill,Merlot,Columbia Valley (WA),Washington,US,30.0,85,45.6870683,-120.8136737,55.63734436035156
Ghielmetti Vineyard Clone 4,Steven Kent,Cabernet Sauvignon,Livermore Valley,California,US,100.0,95,37.664233,-121.728133,187.3254852294922
Fusion,Borra,Red Blend,Lodi,California,US,18.0,86,38.087363,-121.300027,13.31617450714111
Cuvée Signature,Bouchard Aîné & Fils,Chardonnay,Meursault,Burgundy,France,57.0,85,47.0277167,4.8366764,222.4384765625
Rosé Brut,Charles Lafitte,Champagne Blend,Champagne,Champagne,France,47.0,84,,,
Dry,Belhurst,Riesling,Finger Lakes,New York,US,19.0,89,42.83913159999999,-76.97486219999999,153.3224334716797
Estate Grown Biodynamic,Frey,Merlot,Mendocino,California,US,20.0,90,39.3373501,-123.2263329,286.5000305175781
Mountain Selection,Scott Harvey,Syrah,Amador County,California,US,15.0,83,38.5184676,-120.8222519,446.8129577636719
Reserve,Mount Veeder,Cabernet Blend,Napa Valley,California,US,80.0,84,38.3793566,-122.4477575,814.6337890625
Corley Reserve,Monticello Vineyards,Cabernet Sauvignon,Napa Valley,California,US,65.0,91,38.3611302,-122.3055064,17.5584545135498
Les Vieux Murs,Jacques Charlet,Chardonnay,Pouilly-Fuissé,Burgundy,France,30.0,86,47.0525047,4.3837215,342.914306640625
Torrione,Fattoria Petrolo,Sangiovese,Toscana,Tuscany,Italy,45.0,92,43.4713289,11.5723377,354.1656494140625
Miros de Ribera Reserva,Bodegas Peñafiel,Tempranillo,Ribera del Duero,Northern Spain,Spain,50.0,87,41.5984715,-4.124511500000001,756.5497436523438
Vineyard Georges III,Sojourn,Cabernet Sauvignon,Rutherford,California,US,95.0,93,38.2914666,-122.4557344,30.10823631286621
Cerviolo,San Fabiano Calcinaia,Red Blend,Toscana,Tuscany,Italy,45.0,89,43.4448543,11.2160817,221.5092620849609
Quail Series,Covey Run,Syrah,Columbia Valley (WA),Washington,US,9.0,85,47.7510741,-120.7401385,614.4942016601562
Ronchi di Pietro,Ronchi San Giuseppe,Pinot Grigio,Colli Orientali del Friuli,Northeastern Italy,Italy,17.0,86,46.0369215,13.4556685,128.9005889892578
Frux Frugis,Ulithorne,Shiraz,McLaren Vale,South Australia,Australia,60.0,89,-34.9208813,138.6158243,41.66736602783203
Reserve,Wagner,Chardonnay,Finger Lakes,New York,US,14.0,84,42.5717393,-76.8590899,274.8370361328125
Private Selection,Robert Mondavi,Chardonnay,California,California,US,11.0,82,38.4412684,-122.4098023,47.40151596069336
Arizona Stronghold Vineyard,Page Springs,Chardonnay,Cochise County,Arizona,US,35.0,84,34.7578306,-111.8950438,1069.86865234375
Garys' Vineyard,Testarossa,Syrah,Santa Lucia Highlands,California,US,54.0,94,36.4307709,-121.4203754,108.8557815551758
Proprietor's Series,Trinchero,Moscato,California,California,US,12.0,89,38.5284139,-122.4978367,90.57636260986328
Chacayes,J. & F. Lurton,Malbec,Mendoza,Mendoza Province,Argentina,75.0,92,-32.8894587,-68.8458386,768.7654418945312
Solo Tango,Tawert S.A.,Cabernet Sauvignon,Mendoza,Mendoza Province,Argentina,6.0,81,-32.8894587,-68.8458386,768.7654418945312
Plénitude,Producteurs Plaimont,Tannat,Madiran,Southwest France,France,35.0,88,43.6503509,-0.1563492,99.26722717285156
Extra Dry,Tiamo,Glera,Prosecco,Veneto,Italy,15.0,84,45.4414662,12.3152595,4.268747806549072
Classic,Château Famaey,Malbec,Cahors,Southwest France,France,16.0,89,44.4961414,1.1113148,97.78790283203125
Maxine's,Bardessono,Cabernet Sauvignon,Napa Valley,California,US,37.0,94,38.4029933,-122.3603894,30.23284339904785
Brut Reserva Heredad,Segura Viudas,Sparkling Blend,Cava,Catalonia,Spain,20.0,89,41.4361319,1.7422744,233.2905120849609
"Estate, Schrader Ranch",Rivino,Viognier,Mendocino,California,US,24.0,88,39.0961293,-123.1881763,178.5823669433594
Vieilles Vignes,Jean-Marc Bernhard,Riesling,Alsace,Alsace,France,17.0,90,48.1078694,7.2822944,278.201171875
Cerise,Chehalem,Red Blend,Ribbon Ridge,Oregon,US,24.0,87,45.3596594,-123.094848,109.3130722045898
Spanish Demon,Vallobera,Tempranillo,Rioja,Northern Spain,Spain,10.0,84,42.5607529,-2.5853856,597.0924072265625
Arcangelo,Palamà,Red Blend,Salice Salentino,Southern Italy,Italy,15.0,87,40.1256415,18.2056648,81.9447250366211
Magdalena Vineyard,Hermann J. Wiemer,Cabernet Franc,Seneca Lake,New York,US,32.0,94,42.5720217,-76.92809849999999,212.8825225830078
Five Blocks Wren and Temperance Hill,Lumos,Pinot Noir,Willamette Valley,Oregon,US,25.0,88,45.21157729999999,-123.1901348,49.1627082824707
Proprietor's Reserve,Maryhill,Cabernet Franc,Columbia Valley (WA),Washington,US,32.0,90,45.6870683,-120.8136737,55.63734436035156
Canoe Ridge Estate,Chateau Ste. Michelle,Cabernet Sauvignon,Horse Heaven Hills,Washington,US,28.0,88,47.7298044,-122.1493133,15.4883975982666
Cuvée Guy Joly Mémory Brut,Veuve Doussot,Champagne Blend,Champagne,Champagne,France,140.0,93,,,
Barrel Fermented,Chateau Ste. Michelle,Chardonnay,Columbia Valley (WA),Washington,US,13.0,90,47.7298044,-122.1493133,15.4883975982666
Champelrose,Domaine Courbis,Syrah,Cornas,Rhône Valley,France,50.0,90,44.9964254,4.8431599,129.1902465820312
Double L Vineyard,Morgan,Chardonnay,Santa Lucia Highlands,California,US,44.0,92,36.4307709,-121.4203754,108.8557815551758
Guadalupe,Ken Wright,Pinot Noir,Willamette Valley,Oregon,US,50.0,92,45.2944564,-123.1768455,62.17294692993164
Estate Collection,De Loach,Pinot Noir,Russian River Valley,California,US,45.0,88,38.9119799,-123.0537083,128.3678436279297
Plus Single Vineyard Selection Vyborny Vineyard,Goldschmidt,Cabernet Sauvignon,Alexander Valley,California,US,150.0,94,38.6129647,-122.7694345,59.158447265625
Santa Rosalia,Mauro Sebaste,Barbera,Barbera d'Alba,Piedmont,Italy,21.0,88,44.6493296,7.978653899999999,197.765869140625
Rosé of,Ampelos,Syrah,Santa Ynez Valley,California,US,16.0,89,34.642532,-120.437836,37.02256011962891
Lot 325,Cameron Hughes,Meritage,Atlas Peak,California,US,16.0,89,37.726975,-122.194934,3.946042060852051
Soul Shaker Cass Vineyard,Ascension Cellars,Bordeaux-style Red Blend,Paso Robles,California,US,64.0,90,35.6208282,-120.661364,245.9775543212891
Château de Villemajou Grand Vin,Gérard Bertrand,Rhône-style White Blend,Corbières,Languedoc-Roussillon,France,45.0,90,43.5912356,3.2583626,356.6410522460938
Special Selection,Caymus,Cabernet Sauvignon,Napa Valley,California,US,136.0,93,38.4698945,-122.3979952,48.28414535522461
Mélange Noir,Waterbrook,Red Blend,Columbia Valley (WA),Washington,US,15.0,87,46.0537843,-118.5577327,156.9502258300781
Pruno Riserva,Drei Donà Tenuta La Palazza,Sangiovese,Sangiovese di Romagna Superiore,Central Italy,Italy,40.0,88,44.1777895,11.9870939,147.5383148193359
Single Vineyard Temis,Alta Vista,Malbec,Uco Valley,Mendoza Province,Argentina,50.0,94,-32.8896247,-68.8526867,780.0245361328125
Crimson Hill Vineyard,Gregory Graham,Grenache,Red Hills Lake County,California,US,22.0,90,38.9138176,-122.6573882,532.3803100585938
Ximensis,Genium Celler,Pedro Ximénez,Priorat,Catalonia,Spain,40.0,88,41.2328383,0.8452236999999999,335.3585510253906
Estate,Wellington,Syrah,Sonoma Valley,California,US,25.0,86,38.3884178,-122.5280014,116.1983871459961
Bricco delle Olive,Palladino,Barbera,Barbera d'Alba,Piedmont,Italy,30.0,89,44.6094827,8.0002228,389.2701721191406
Terre del Pelacane,I Veroni,Red Blend,Colli della Toscana Centrale,Tuscany,Italy,20.0,86,43.7762273,11.4197546,91.55899810791016
Vignota,Conterno Fantino,Barbera,Barbera d'Alba,Piedmont,Italy,33.0,88,45.0522366,7.5153885,328.4933776855469
Grand Estates,Columbia Crest,Chardonnay,Columbia Valley (WA),Washington,US,12.0,87,45.9570837,-119.6095194,198.675048828125
Rancho Del Oso,Sbragia,Cabernet Sauvignon,Howell Mountain,California,US,75.0,94,38.7204495,-122.9936779,70.85514068603516
Beauroy Premier Cru,Domaine Christophe Camu,Chardonnay,Chablis,Burgundy,France,40.0,90,47.8130083,3.7958898,145.6473388671875
Classic,Château Bouissel,Red Blend,Fronton,Southwest France,France,14.0,88,43.8784745,1.3048674,138.6783142089844
Cune Crianza,CVNE,Tempranillo Blend,Rioja,Northern Spain,Spain,15.0,82,42.2870733,-2.539603,976.5285034179688
Midnight Reserve,LangeTwins,Bordeaux-style Red Blend,Lodi,California,US,30.0,85,38.2041607,-121.2968284,14.61278438568115
Niclaire,Testarossa,Pinot Noir,California,California,US,75.0,94,37.21347799999999,-121.981544,204.8062286376953
La Presa,Jalama,Syrah,Santa Barbara County,California,US,30.0,86,34.5229255,-120.4204466,181.0153656005859
Elsa Bianchi,Valentin Bianchi,Cabernet Sauvignon,Mendoza,Mendoza Province,Argentina,9.0,87,-34.5828004,-68.42337859999999,767.2411499023438
Fontanavigna,Terre del Principe,Pallagrello Bianco,Terre del Volturno,Southern Italy,Italy,36.0,88,41.18191909999999,14.4521739,51.33206176757812
Heron Hill Estate Dry,Heron Hill,Riesling,Finger Lakes,New York,US,20.0,86,42.4498966,-77.201624,398.0736083984375
Momtazi Vineyard,Verve,Pinot Noir,Willamette Valley,Oregon,US,33.0,85,44.942554,-122.9337615,65.47883605957031
Cum Laude Reserve,Campus Oaks,Petite Sirah,Clarksburg,California,US,20.0,87,38.7894149,-121.3239524,40.91459274291992
Reserve,La Forge Estate,Merlot,Vin de Pays d'Oc,Languedoc-Roussillon,France,13.0,83,43.5912356,3.2583626,356.6410522460938
Salicaria,Fattoria di Grignano,Red Blend,Toscana,Tuscany,Italy,80.0,90,43.8063367,11.4591867,298.7933349609375
Reserve,EOS,Cabernet Sauvignon,Paso Robles,California,US,32.0,89,35.6451869,-120.642575,238.1665649414062
Furstentum Grand Cru,Domaine Bott-Geyl,Pinot Gris,Alsace,Alsace,France,37.0,94,48.15635940000001,7.328669399999999,211.8316802978516
Boschi dei Signori,Bosio,Nebbiolo,Barolo,Piedmont,Italy,44.0,87,44.6468646,8.791009599999999,352.6022644042969
Queen of Diamonds Estate Diamond Mountain Vineyard,Constant,Syrah,Northern Sonoma,California,US,60.0,87,38.291859,-122.4580356,24.56864547729492
Old Vines,Hidden Cellars,Zinfandel,Mendocino,California,US,13.0,84,39.3076744,-123.7994591,42.62720489501953
Little Sister Proprietary Red Wine,Wallis Family Estate,Red Blend,Diamond Mountain District,California,US,45.0,91,36.778261,-119.4179324,145.0071258544922
Carta Nevada Semi Dry,Freixenet,Sparkling Blend,Cava,Catalonia,Spain,9.0,85,41.4203698,1.7936461,146.6550903320312
Gap's Crown Vineyard Clone 667 Three Barrel Selection,Gary Farrell,Pinot Noir,Sonoma Coast,California,US,75.0,91,38.5073594,-122.8973961,109.9357376098633
Saurus Patagonia,Familia Schroeder,Merlot,Neuquén,Other,Argentina,9.0,86,-38.952337,-68.056046,276.9860534667969
Boushey Vineyard Appanage,Walter Dacon,Syrah,Yakima Valley,Washington,US,50.0,92,47.14818450000001,-123.064276,20.71177101135254
Sangiacomo Vineyard,Peters Family,Chardonnay,Carneros,California,US,36.0,91,38.4242157,-122.8484378,47.37947463989258
Battistelle,Le Battistelle,Garganega,Soave Classico,Veneto,Italy,30.0,88,45.4506288,11.2804926,62.04704666137695
Corty Artisan Silex,Patrice Moreux,Sauvignon Blanc,Pouilly-Fumé,Loire Valley,France,25.0,89,47.3042659,2.9277091,160.2982177734375
Adagio,The Williamsburg Winery,Bordeaux-style Red Blend,Virginia,Virginia,US,72.0,88,37.23206,-76.71843,14.69065189361572
Coats and Whitney Vineyard,Omero,Pinot Noir,Willamette Valley,Oregon,US,48.0,88,45.35719599999999,-123.069931,153.3441925048828
Château d'Arche,Mähler-Besse,Bordeaux-style Red Blend,Haut-Médoc,Bordeaux,France,25.0,89,44.85509700000001,-0.575619,5.274106502532959
Finisterre,Poggio Argentiera,Red Blend,Maremma,Tuscany,Italy,59.0,89,42.67217,11.148368,21.98741340637207
Emelia's Cuvée,Ferrari-Carano,Chardonnay,Russian River Valley,California,US,36.0,90,38.7113931,-122.9782966,66.1238784790039
Midnight Reserve,LangeTwins,Bordeaux-style Red Blend,Lodi,California,US,30.0,84,38.2041607,-121.2968284,14.61278438568115
Black Bear Block,Zaca Mesa,Syrah,Santa Ynez Valley,California,US,55.0,93,34.7720598,-120.1332689,388.9549865722656
Numanthia,Numanthia,Tinta de Toro,Toro,Northern Spain,Spain,60.0,93,41.4515284,-5.4563748,713.6124267578125
Oliver's Blend,Skipstone,Bordeaux-style Red Blend,Alexander Valley,California,US,105.0,92,38.7029673,-122.8249916,134.6825561523438
ONE,Pierre Sparr,White Blend,Alsace,Alsace,France,10.0,81,48.1589834,7.326862200000001,216.6191558837891
Emè,I Capitani,Red Blend,Irpinia,Southern Italy,Italy,30.0,86,41.0245895,14.9252253,408.5841064453125
Seleccionada,Alma del Sur,Bonarda,Mendoza,Mendoza Province,Argentina,18.0,86,-32.8894587,-68.8458386,768.7654418945312
Ferrington Vineyard,Breggo,Sauvignon Blanc,Anderson Valley,California,US,22.0,89,39.0865657,-123.4794542,58.43482208251953
Dry,Billsboro,Riesling,Finger Lakes,New York,US,16.0,83,42.80173449999999,-76.9782986,157.2033081054688
Cuvée Los Gatos,Testarossa,Chardonnay,Monterey County,California,US,23.0,92,36.4781847,-121.7305541,120.1844711303711
Conde de Valdemar Crianza,Bodegas Valdemar,Tempranillo,Rioja,Northern Spain,Spain,12.0,87,42.4988843,-2.4393149,419.335205078125
Les Dames Huguettes,Nuiton-Beaunoy,Pinot Noir,Hautes Côtes de Nuits,Burgundy,France,20.0,87,47.01346580000001,4.815776100000001,230.8329925537109
Sarmento Vineyard,Windbreak,Pinot Noir,Santa Lucia Highlands,California,US,40.0,86,36.4307709,-121.4203754,108.8557815551758
Reserve,Columbia Crest,Chardonnay,Columbia Valley (WA),Washington,US,30.0,88,45.9570837,-119.6095194,198.675048828125
Vivens,Château Durfort-Vivens,Bordeaux-style Red Blend,Margaux,Bordeaux,France,40.0,92,45.040064,-0.6744846999999999,14.92320251464844
Caton Vineyard Upper Bench,Ty Caton,Merlot,Sonoma Valley,California,US,38.0,85,38.2599714,-122.4368952,9.953009605407715
Chabot Vineyard,Beringer,Cabernet Sauvignon,Napa Valley,California,US,90.0,92,38.5101424,-122.4799022,87.92298889160156
Riserva,Fattoria Del Cerro,Prugnolo Gentile,Vino Nobile di Montepulciano,Tuscany,Italy,40.0,88,43.0895805,11.8605183,313.8994445800781
Petit Frère,La Croix Martelle,Pinot Noir,Vin de Pays d'Oc,Languedoc-Roussillon,France,24.0,84,43.5912356,3.2583626,356.6410522460938
Cuvée Extra Dry,Carpenè Malvolti,Prosecco,Prosecco di Conegliano,Veneto,Italy,20.0,86,45.8908744,12.3032717,62.32746124267578
Snipes Vineyard Dry,Canoe Ridge,Riesling,Columbia Valley (WA),Washington,US,17.0,92,46.06766469999999,-118.3381224,292.1629028320312
Hyde Vineyard,Hyde de Villaine,Chardonnay,Carneros,California,US,68.0,94,38.2583941,-122.3182055,16.54093360900879
Sole,Fattoria dei Barbi,Sangiovese,Morellino di Scansano,Tuscany,Italy,20.0,89,42.656997,11.3882662,247.7855682373047
Estate Bottled,Tudal,Cabernet Sauvignon,Napa Valley,California,US,45.0,94,38.5486179,-122.503492,80.12647247314453
Old Vine,Gnarly Head,Zinfandel,Lodi,California,US,12.0,86,38.1341477,-121.2722194,16.91690063476562
Cenerentola,Donatella Cinelli Colombini,Red Blend,Orcia,Tuscany,Italy,35.0,89,43.1814223,11.6546774,416.1925964355469
Pergole Vece,Le Salette,"Corvina, Rondinella, Molinara",Amarone della Valpolicella Classico,Veneto,Italy,118.0,94,45.5432029,10.883969,192.3200073242188
Ciel du Cheval Vineyard,Januik,Syrah,Red Mountain,Washington,US,35.0,92,46.2979123,-119.4408562,376.1915588378906
Gemini,Midnight,Port,Paso Robles,California,US,23.0,84,35.575356,-120.736549,282.3762817382812
Ripe al Convento Riserva,Castelgiocondo,Sangiovese Grosso,Brunello di Montalcino,Tuscany,Italy,120.0,94,42.967171,11.437808,108.1117095947266
Chateldon Gran Reserva,Pinord,Cabernet Sauvignon,Penedès,Catalonia,Spain,30.0,85,41.3430928,1.7031186,218.9910278320312
Sous le Puits Premier Cru,Henri de Villamont,Chardonnay,Puligny-Montrachet,Burgundy,France,62.0,91,47.0628625,4.8215919,266.1913452148438
Vozelgang Vineyard,Curtis,Syrah,Santa Ynez Valley,California,US,24.0,85,34.6094437,-120.1867571,109.1041717529297
Three Palms Vineyard,Duckhorn,Merlot,Napa Valley,California,US,85.0,88,38.5294533,-122.4908152,72.6552734375
Estate,Sawyer,Merlot,Rutherford,California,US,38.0,85,38.225533,-122.267675,11.09161376953125
L'Enchentoir 253,Manoir de la Tête Rouge,Cabernet Franc,Saumur,Loire Valley,France,35.0,89,47.1272325,-0.2373705,82.41127014160156
Rancho Santa Rosa,Foley,Syrah,Sta. Rita Hills,California,US,30.0,90,34.6505835,-120.3022173,207.2787475585938
Rosé,Domaine Jean Bousquet,Malbec-Cabernet Sauvignon,Tupungato,Mendoza Province,Argentina,12.0,80,-33.4359998,-69.198295,1135.938598632812
Terlo Ravera,Marziano Abbona,Nebbiolo,Barolo,Piedmont,Italy,75.0,93,44.552969,7.951918999999999,415.7395629882812
Grower's Reserve,Clary Ranch,Pinot Noir,Sonoma Coast,California,US,50.0,92,38.2430848,-122.7273576,86.96906280517578
La Conreria,La Conreria d'Scala Dei,Red Blend,Priorat,Catalonia,Spain,24.0,88,41.2452203,0.8089242,405.6618347167969
Bacigalupi Vineyard,John Tyler,Zinfandel,Russian River Valley,California,US,36.0,89,38.4836416,-122.8175328,33.26132202148438
Old Vines,Villa des Anges,Rosé,Pays d'Oc,Languedoc-Roussillon,France,11.0,84,43.5912356,3.2583626,356.6410522460938
Mouton Cadet,Baron Philippe de Rothschild,Bordeaux-style Red Blend,Bordeaux,Bordeaux,France,11.0,85,40.7644934,-73.4535398,50.22983551025391
Hayley Vineyard,Lagniappe,Pinot Noir,Anderson Valley,California,US,55.0,88,39.0865657,-123.4794542,58.43482208251953
